airport_ident,csv_le_ident,csv_he_ident,norm_le_ident,norm_he_ident,reason,db_candidate_pairs,csv_le_latitude_deg,csv_le_longitude_deg,csv_he_latitude_deg,csv_he_longitude_deg,csv_le_elevation_ft,csv_he_elevation_ft
EG73,11,29,11,29,airport not found in runway table,,57.7588,-3.95095,57.7567,-3.93295,26,26
EGAB,15,33,15,33,no matching runway for airport,14/32,54.4026214141519,-7.65746725856458,54.3957774276846,-7.64743477850745,154,154
EGCD,7,25,07,25,airport not found in runway table,,53.3339,-2.165,53.3419,-2.13333,282,288
EGCN,2,20,02,20,airport not found in runway table,,53.4624,-1.01115,53.4871,-0.997739,52,26
EGDL,6,24,06,24,airport not found in runway table,,51.5022,-2.01102,51.5128,-1.98118,511,447
EGDL,18,36,18,36,airport not found in runway table,,51.5115,-1.98995,51.4951,-1.98763,451,439
EGHD,6,24,06,24,airport not found in runway table,,50.4202,-4.11649,50.425,-4.10805,458,473
EGHD,13,31,13,31,airport not found in runway table,,50.4255,-4.11259,50.42,-4.09901,474,439
EGJA,14,32,14,32,no matching runway for airport,03/21; 08/26; 13/31,49.7089,-2.22134,49.7044,-2.21394,268,277
EGKA,7,25,07,25,no matching runway for airport,02/20; 06/24; 13/31,50.8326,-0.300292,50.8362,-0.288933,3,0
EGKC,2,20,02,20,airport not found in runway table,,50.7992,-0.661778,50.8035,-0.65651,3,3
EGKR,08L,26R,08L,26R,no matching runway for airport,06/24; 07H/25H; 07L/25R; 07R/25L; 18/36,51.2136,-0.143247,51.2152,-0.133831,205,205
EGKR,08R,26L,08R,26L,no matching runway for airport,06/24; 07H/25H; 07L/25R; 07R/25L; 18/36,51.2125,-0.144858,51.2147,-0.132483,222,197
EGLM,7,25,07,25,no matching runway for airport,03/21; 07L/25R; 07R/25L; 11/29,51.4986,-0.781661,51.5027,-0.768006,126,123
EGMH,10,28,10,28,airport not found in runway table,,51.3446,1.32683,51.3397,1.36556,171,172
EGNB,6,24,06,24,airport not found in runway table,,53.7181,-0.567778,53.7208,-0.560278,12,11
EGNB,12,30,12,30,airport not found in runway table,,53.7232,-0.572939,53.7196,-0.558172,16,16
EGNE,3,21,03,21,no matching runway for airport,08/26; 14/32; 02/20,53.2737,-0.956831,53.2874,-0.945947,85,76
EGOD,5,23,05,23,airport not found in runway table,,52.8058,-4.13391,52.8136,-4.11925,29,13
EGOD,15,33,15,33,airport not found in runway table,,52.8154,-4.1355,52.8053,-4.12622,6,26
EGOD,17,35,17,35,airport not found in runway table,,52.8153,-4.13028,52.795,-4.12426,20,29
EGOS,5,23,05,23,no matching runway for airport,04/22; 18/36,52.7927,-2.67668,52.8015,-2.66231,248,238
EGPK,3,21,03,21,no matching runway for airport,02/20; 12/30,55.4884,-4.58741,55.5034,-4.57576,48,60
EGPM,6,24,06,24,airport not found in runway table,,60.4292,-1.30626,60.4361,-1.28595,75,15
EGQK,7,25,07,25,airport not found in runway table,,57.646,-3.57882,57.6529,-3.54238,11,22
EGSY,10,28,10,28,airport not found in runway table,,53.3947,-1.39756,53.3938,-1.37941,231,230
EGTG,9,27,09,27,airport not found in runway table,,51.5194,-2.60802,51.5194,-2.57247,199,185
EGUL,6,24,06,24,no matching runway for airport,05/23,52.4025,0.544383,52.4164,0.577647,27,28
EGUO,1,19,01,19,airport not found in runway table,,51.4378,-2.28583,51.4476,-2.28446,590,557
EGUO,7,25,07,25,airport not found in runway table,,51.4377,-2.29084,51.444,-2.26916,590,540
EGUY,9,27,09,27,airport not found in runway table,,52.3552,-0.124553,52.3581,-0.087928,134,104
EGUY,15,33,15,33,airport not found in runway table,,52.3603,-0.115358,52.3543,-0.109967,129,126
EGXD,10,28,10,28,airport not found in runway table,,54.1439,-1.42794,54.1433,-1.40711,114,96
EGXD,15,33,15,33,airport not found in runway table,,54.1441,-1.42692,54.1294,-1.4129,115,99
EGXJ,4,22,04,22,airport not found in runway table,,52.7265,-0.662133,52.745,-0.635306,461,393
EGXP,4,22,04,22,airport not found in runway table,,53.2987,-0.564353,53.3172,-0.537308,196,168
EGXU,3,21,03,21,airport not found in runway table,,54.0424,-1.26042,54.0564,-1.24576,49,50
EGXU,10,28,10,28,airport not found in runway table,,54.0495,-1.26264,54.0482,-1.24231,48,46
EGXY,7,25,07,25,no matching runway for airport,11/29; 06/24; 15/33,53.0172,-0.928289,53.0246,-0.904025,224,186
EGXY,16,34,16,34,no matching runway for airport,11/29; 06/24; 15/33,53.0273,-0.915347,53.0168,-0.905536,223,182
EGYM,6,24,06,24,no matching runway for airport,01/19; 05/23,52.6412,0.533536,52.6553,0.567403,55,57
EIDL,3,21,03,21,no matching runway for airport,02/20,55.0379,-8.34508,55.0505,-8.33699,10,30
LFOH,5,23,05,23,no matching runway for airport,04/22,49.5265,0.077586,49.5416,0.099325,310,300
Cark,6,24,06,24,airport not found in runway table,,54.1633510742746,-2.96359419822693,54.1653296930884,-2.95864820480347,26,19
EG03,7,25,07,25,airport not found in runway table,,51.5467487140883,-2.31165647506714,51.5504915546071,-2.29385733604431,159,143
EG19,31,13,31,13,airport not found in runway table,,54.3074478421682,-0.970369577407837,54.3102457817285,-0.97554087638855,210,235
EG19,2,20,02,20,airport not found in runway table,,54.304280370098,-0.977375507354736,54.3096887127308,-0.974875688552856,204,231
EG34,7,25,07,25,no matching runway for airport,01/19,52.0003589818302,-2.47961640357971,52.0033180485952,-2.4690055847168,47,40
EG3L,36,18,36,18,airport not found in runway table,,55.5877075817675,-2.08733797073364,55.5939826343594,-2.08804607391357,43,41
EG3L,29,11,29,11,airport not found in runway table,,55.591254473909,-2.08305716514587,55.5935825160288,-2.09366798400879,41,41
EG64,5,23,05,23,airport not found in runway table,,53.9503530215674,-1.17863774299622,53.9537686314316,-1.1719536781311,16,15
EG64,35,17,35,17,airport not found in runway table,,53.9419422314953,-1.18548274040222,53.9525690960696,-1.18876576423645,19,18
EGAE,7,25,07,25,no matching runway for airport,02/20; 08/26,55.0404606380166,-7.1746838092804,55.0450772194197,-7.14820504188538,13,0
EGBK,2,20,02,20,no matching runway for airport,03L/21R; 03R/21L; 05/23; 15/33,52.3025154392412,-0.795081853866577,52.3093707362,-0.789985656738281,119,128
EGBK,2,20,02,20,no matching runway for airport,03L/21R; 03R/21L; 05/23; 15/33,52.3025351210388,-0.793300867080689,52.3076258522269,-0.78951358795166,117,123
EGBK,31,13,31,13,no matching runway for airport,03L/21R; 03R/21L; 05/23; 15/33,52.3049821563807,-0.785994529724121,52.3106695149594,-0.795629024505615,116,128
EGBL,4,22,04,22,airport not found in runway table,,52.1361880614781,-1.75897121429443,52.1390722930518,-1.75509810447693,47,45
EGBM,7,25,07,25,no matching runway for airport,08/26,52.8125480393957,-1.77298307418823,52.8155114796626,-1.75662159919739,126,135
EGBM,3,21,03,21,no matching runway for airport,08/26,52.811166760791,-1.77129864692688,52.8151742931446,-1.7677903175354,125,132
EGBR,10,28,10,28,airport not found in runway table,,53.8034070754138,-0.922701358795166,53.8022982613579,-0.912272930145264,26,19
EGCA,10,28,10,28,no matching runway for airport,11/29,53.3053262934052,-1.43316864967346,53.3041851161446,-1.42404913902283,221,220
