airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft,name
3074,EG73,3599,151,ASP,0,0,11,57.7588,-3.95095,26,102,0,29,57.7567,-3.93295,26,282,0,RNAS Fearn Air Base
2448,EGNT,7642,151,ASP,1,0,7,55.0341173778474,-1.70414729413032,263,65,394,25,55.0416773146415,-1.67569203474045,239,245,446,Newcastle AP
3075,EG74,9842,197,ASP,0,0,6,52.4842744877812,-1.14903475330353,463,58,1213,24,52.4983371621704,-1.11527249870301,454,238,1213,Bruntingthorpe AP
2385,EGAA,9121,148,ASP,1,0,7,54.6523,-6.23524,206,65,0,25,54.6628,-6.19618,268,245,0,Belfast International AP
2385,EGAA,6204,148,ASP,1,0,17,54.6579,-6.22862,206,162,525,35,54.6426,-6.21999,258,342,502,Belfast International AP
2386,EGAB,4350,98,ASP,1,0,15,54.4026214141519,-7.65746725856458,154,140,328,33,54.3957774276846,-7.64743477850745,154,320,1093,Enniskillen/St Angelo AP
2387,EGAC,6001,148,ASP,1,0,4,54.6114,-5.88072,13,35,303,22,54.6249,-5.86443,12,215,0,George Best Belfast City AP
2388,EGAE,6460,147,ASP,1,0,8,55.0404,-7.17505,11,73,278,26,55.0452,-7.14733,11,253,0,City of Derry AP
2389,EGBB,10013,148,ASP,1,0,15,52.463397174447,-1.75863163887023,305,148,1069,33,52.4464,-1.73972,328,328,987,Birmingham International AP
2390,EGBE,5988,151,ASP,1,0,5,52.3644,-1.48928,267,47,0,23,52.3755,-1.46957,265,227,420,Coventry AP
2391,EGBG,1608,59,ASP,0,0,4,52.6038257638443,-1.03017195221902,463,38,0,22,52.6072172764662,-1.02565253621101,467,218,0,Leicester AP
2391,EGBG,1099,98,GRS,0,0,6,52.6050178045114,-1.0309560638237,463,55,0,24,52.6071464786282,-1.02713953372954,469,235,0,Leicester AP
2391,EGBG,3084,98,ASP,1,0,10,52.6083032818099,-1.03885072825908,450,96,0,28,52.6074303523226,-1.02521294477463,467,276,0,Leicester AP
2391,EGBG,1624,59,ASP,0,0,15,52.6077700545194,-1.03394766749381,464,149,0,33,52.6039668073319,-1.03024273991584,463,329,0,Leicester AP
2391,EGBG,1371,98,GRS,0,0,16,52.6075944439518,-1.03297446015358,464,151,0,34,52.6043449217724,-1.02978288649082,463,331,0,Leicester AP
2392,EGBJ,3218,112,ASP,1,0,4,51.888703010238,-2.16801466501236,83,35,0,22,51.8951486084166,-2.16082297189713,86,215,289,Gloucestershire AP
